open_time,open_price,high_price,low_price,close_price,volume,turnover
1713870300000,66129.9,66134.4,65976,66049.2,596.311,39377853.7218
1713870600000,66049.2,66173.3,66045,66164.3,162.091,10719900.5977
1713870900000,66164.3,66164.6,66065.1,66093.4,91.559,6052583.2339
1713871200000,66093.4,66100,66033.7,66041.2,138.242,9131870.5209
1713871500000,66041.2,66068.2,66040.4,66062.6,65.721,4340999.5917
1713871800000,66062.6,66107.6,66000,66028.1,190.441,12574592.8361
1713872100000,66028.1,66046.8,65831.3,65891.8,952.596,62777172.3005
1713872400000,65891.8,65952.3,65821.3,65863.1,360.821,23775586.9117
1713872700000,65863.1,65964.5,65863.1,65932.8,347.016,22876796.6558
1713873000000,65932.8,66030,65932,66006.9,230.175,15188992.0769
1713873300000,66006.9,66022.4,65955.8,66022.4,142.991,9434840.5424
1713873600000,66022.4,66087,65980.2,66082.9,232.112,15328844.9906
1713873900000,66082.9,66143.8,66056.4,66068.4,234.191,15481728.9963
1713874200000,66068.4,66090.6,65917.5,65995.4,189.282,12491656.3334
1713874500000,65995.4,66008.6,65900,65917.3,180.219,11881325.7097
1713874800000,65917.3,66119.8,65917.3,66009.2,281.719,18609791.1658
1713875100000,66009.2,66054.7,65976.3,66027.5,104.808,6919041.0429
1713875400000,66027.5,66081.3,66006.2,66020,108.699,7179106.3409
1713875700000,66020,66045.4,65949,65975,133.636,8817659.5017
1713876000000,65975,65999.6,65869,65872.4,157.065,10355005.3032
1713876300000,65872.4,65963.9,65750,65925.6,784.114,51622273.5001
1713876600000,65925.6,65999.4,65890.3,65968.3,110.881,7313770.517
1713876900000,65968.3,66104.5,65968.2,66104.5,333.074,21997239.2148
1713877200000,66104.5,66164.4,66071.8,66076,334.571,22122380.7554
1713877500000,66076,66125,66028.2,66121.4,155.071,10246942.861
1713877800000,66121.4,66128.1,66060,66079.7,133.745,8841315.286
1713878100000,66079.7,66085.2,66020.1,66049.9,91.482,6041758.093
1713878400000,66049.9,66100,66040.1,66046,68.385,4517563.9771
1713878700000,66046,66108.9,66044.1,66095.2,74.569,4927396.1077
1713879000000,66095.2,66242.6,66046.8,66152.5,565.088,37393781.7878
1713879300000,66152.5,66393.9,66117.9,66348.5,789.693,52338814.7291
1713879600000,66348.5,66445.7,66274.1,66370.1,673.844,44726759.2545
1713879900000,66370.1,66548.3,66267.9,66316,1395.502,92722804.4194
1713880200000,66316,66508.4,66235,66485.1,722.643,47962908.1827
1713880500000,66485.1,66518.5,66346.2,66474.4,793.421,52730473.9923
1713880800000,66474.4,66517.7,66379.4,66468.1,591.687,39330660.286
1713881100000,66468.1,66750,66458.5,66635.2,2361.904,157427852.2026
1713881400000,66635.2,66974,66577.4,66779,2001.126,133720741.9562
1713881700000,66779,66930,66760,66770.1,1089.495,72840301.9765
1713882000000,66770.1,66890,66765,66830.2,588.367,39328931.2362
1713882300000,66830.2,66830.2,66684,66700,951.686,63514156.1174
1713882600000,66700,67106.5,66687.9,67021.7,1435.128,96120170.2452
1713882900000,67021.7,67110,66782.2,66793.9,1123.946,75244462.651
1713883200000,66793.9,66874.8,66540,66615.3,1288.581,85943645.6314
1713883500000,66615.3,66700,66546.6,66674.1,936.956,62425353.5318
1713883800000,66674.1,66943,66674.1,66911.3,1003.499,67065572.721
1713884100000,66911.3,66976.6,66815.4,66883.9,445.379,29792551.9124
1713884400000,66883.9,66906.4,66668.5,66713.4,500.452,33410122.2378
1713884700000,66713.4,66816.3,66690.1,66726.3,328.689,21939699.7505
1713885000000,66726.3,66789.9,66640.2,66701.2,208.762,13926535.0543
1713885300000,66701.2,66730.7,66510.1,66557.7,859.265,57203288.402
1713885600000,66557.7,66675.8,66540,66635,460.371,30660904.3
1713885900000,66635,66749.1,66635,66715.2,270.823,18064878.9202
1713886200000,66715.2,66750,66532.4,66592,269.725,17968731.7119
1713886500000,66592,66600.4,66427.7,66558,576.091,38322537.0968
1713886800000,66558,66588,66361.2,66406.1,697.2,46312040.8232
1713887100000,66406.1,66500.3,66380.8,66485.7,513.69,34142406.7487
1713887400000,66485.7,66491.7,66451,66464.4,206.088,13698803.889
1713887700000,66464.4,66521.1,66290,66398.1,762.717,50618081.3069
1713888000000,66398.1,66494,66320.9,66474.1,320.955,21316361.7227
1713888300000,66474.1,66699.7,66474.1,66633.6,948.583,63200306.1925
1713888600000,66633.6,66655.1,66590.3,66655.1,294.322,19611167.5141
1713888900000,66655.1,66712,66636,66699.6,313.626,20910043.3709
1713889200000,66699.6,66704.8,66590.3,66619.9,169.274,11276993.4014
1713889500000,66619.9,66630.2,66492,66630.2,329.207,21912096.8108
1713889800000,66630.2,66684.4,66542.7,66583.1,150.259,10009529.0934
1713890100000,66583.1,66637.9,66546.1,66610.8,105.063,6997421.2553
1713890400000,66610.8,66683,66605.2,66680,145.259,9681426.6407
1713890700000,66680,66799.5,66656,66719.5,393.967,26295343.8739
1713891000000,66719.5,66747.9,66685.2,66716.6,100.373,6696851.6808
1713891300000,66716.6,66735.5,66656.7,66723.8,143.931,9600597.4182
1713891600000,66723.8,66772,66637.4,66660,304.542,20306020.4348
1713891900000,66660,66731.5,66640,66694.7,170.52,11369970.5601
1713892200000,66694.7,66706.5,66601.2,66604,114.402,7624706.0928
1713892500000,66604,66633.9,66546.4,66627.7,245.312,16333389.8812
1713892800000,66627.7,66707.2,66595.5,66696,116.24,7748855.9792
1713893100000,66696,66702.8,66659.6,66659.6,69.594,4640523.8347
1713893400000,66659.6,66694,66583.9,66637.2,177.703,11839729.3895
1713893700000,66637.2,66734.9,66637.1,66684.1,162.382,10829671.1186
1713894000000,66684.1,66749.2,66684,66737.5,175.04,11679080.5108
1713894300000,66737.5,66897.4,66737.5,66750.6,756.909,50586253.8065
1713894600000,66750.6,66765.1,66666.9,66718,286.907,19139837.5831
1713894900000,66718,66735.9,66700.9,66729.4,48.581,3241324.0843
1713895200000,66729.4,66799.5,66710,66734.6,218.212,14566932.1974
1713895500000,66734.6,66798.7,66689.3,66737,294.864,19680704.1722
1713895800000,66737,66737,66661.6,66726.8,254.866,17000335.0639
1713896100000,66726.8,66823,66718.1,66792.2,114.169,7624874.3345
1713896400000,66792.2,66820,66748.1,66773.9,87.391,5836273.3007
